Komentar,Sentimen,Label
AAAAA SENENGNYA HATIKUU,Positif,1
Jimin gemes bangett,Positif,1
Duh gasabarrr bangettttt ,Positif,1
mau belanja Jimin nya bisa ga?,Netral,0
Aku mau beli rumah sama suga,Netral,0
PASTII WOWW BGTT NIHH,Positif,1
Aaa kalian lucu banget si gemes,Positif,1
See you sayang sayang nya army,Positif,1
Beli panci ke bts bisa ngga ya? Haha,Positif,1
kok ganteng siii,Positif,1
V ganteng bgt yaak ,Positif,1
Kek cewek dandanannya menor,Negatif,-1
Plastik kok diundang upps,Negatif,-1
Sampah,Negatif,-1
Senangnya wajah wajah Bangtan berseliweran di TV ,Positif,1
Lucu banget aku love BTS JUNGKOOK,Positif,1
kapan gw bisa ketemu bts huhu,Netral,0
Iklan ternyaman walau diulang ulang,Positif,1
Tayangin iklannya terus di tv ya min,Positif,1
Semangat buat BTS,Positif,1
Mudah bukan? Mudah yang tidak mudah hanya mendapatkan remot tv kita lihat saja nanti..,Positif,1
"Jhope aduh lancar banget mas, udah bisa nih ijab kabul",Positif,1
Semoga BTS menjadi brand ambassador Tokopedia bakalan senenggggg bangettt dahh para army,Positif,1
jelek sekali penampilannya astaga,Negatif,-1
kpop burik,Negatif,-1
Hadeh ngga mutu,Negatif,-1
Bubar ajadeh mending,Negatif,-1
BOBROKNYA PLISSS HUHUHU,Positif,1
sangat gemash .,Positif,1
Para indomy/Indonesian army berkumpul,Positif,1
"aku iri kepada kardus Tokped. btw makasi tokped, aku bahagia sekali",Positif,1
"Iya mudah, yg ga mudah itu milikin kamu",Positif,1
Aaa tidak sabar yauu.. Siap remot tv gue rebut,Positif,1
BTS ngga ada lawan,Positif,1
"Asal mereka muncul nya ga cuma satu kali penampilan  aja,sisanya full artis indo",Netral,0
Suga: Mudah bukan?Aku: Semudah mencintaimu Kang Agus wqwq,Positif,1
Mudah sayang,Positif,1
benci bgtttt sama plastik,Negatif,-1
Min udah Corona ntar bawa BTS ke Indonesia ya,Positif,1
"MALAM INII, YUHUUUU",Positif,1
Aku nonton sampai BTS tampil nyanyi dynamite jadi nggak liat interview nya,Positif,1
Dandanannya aneeeehhh,Negatif,-1
gemash,Positif,1
"DARI PAGI DAH BERASA KEK ADA SERIBU KUPU2 DLM PERUT, SANGKING NDAK SABARNYA",Positif,1
MAS GANTENG,Positif,1
Mending tidur nonton acara beginian wkwk,Negatif,-1
Min kayanya tadi videonya sempat bocor di tweet deh.,Positif,1
Gk sabarrr,Positif,1
Aaaaaaa gsbr min buat mlem,Positif,1
AAAA GASABARR BTS,Positif,1
Huhuuuuu ga sabar,Positif,1
plastik,Negatif,-1
Ga sabaaarrr,Positif,1
Acara ginian bikin mlss,Negatif,-1
Waithing,Positif,1
Ada behind the scene nya ga sih ini ucul banget,Positif,1
NONTON TOKOPEDIA LIAT MEREKA JNTUNG GA KARUAN,Positif,1
"Tokopedia tolong buka akses youtube untuk army luar negeri. Jangan sampai nama Tokopedia jelek dimata Internasional Army dan Army Korea. Kami sebagai ARMY Indonesia bahagia Tokopedia tetap melanjutkan kontrak dengan BTS, tapi tolong kerjasamanya .. kasian buat internasional army",Positif,1
Aaa gemess,Positif,1
Aneh ,Negatif,-1
Aneh,Negatif,-1
Tokopedia keren bgt dah,Positif,1
Serakah bgt tokped ambil blackpink sama bts,Negatif,-1
"""Mudah bgt...."" Yg ga mudah itu menggapai tanganmu, Suga......",Positif,1
Yeayyyy,Positif,1
bosenin bgt acaranya,Negatif,-1
plastik kok dibayar mahal,Negatif,-1
plastiiiqqqqq,Negatif,-1
Mas j-hope suaramu makin melokal,Positif,1
ganteng sih tapi plastik,Negatif,-1
Jangan sampe lupa sistaaaa @vinvin_joeliyus_r ,Positif,1
Aduhh bang kamu tinggal di indo aja udh dah lancar gitu ngomongnya,Positif,1
Sope lancar bgt bun ngomongnya,Positif,1
Mudaah yoongi...ini ntr malam Udah pasti perform #dynamite ,Positif,1
@seilefaptr suga tegang bgt ya bun,Positif,1
Mending shopee daripada tokped mah,Negatif,-1
"Gila, kok suka sama orng kafir",Negatif,-1
@kurniaajengprtw  b aja atau gmn?,Positif,1
Iyaaa MUDAH yoongiya...dapetin kamu aja yang SULIT,Positif,1
orang2 aneh,Negatif,-1
Artis lokal lebih menggoda,Negatif,-1
jangan lupa nonton bts tokped ya!!,Netral,0
Di sctv kn ya,Positif,1
ngga jelas,Negatif,-1
 mudah bukaaaaaan,Positif,1
Mudah bukan? @wulandarid_,Positif,1
Mudah bukan ?? Mudah kok mudah banget kamu bikin aku ambyar mas ,Positif,1
gajelas,Negatif,-1
Ayo blanja di tokped,Positif,1
mantep ga tuh,Positif,1
makin lokal bgt yaampun,Positif,1
"Pgn nyulik yoongi diboyong ke indo, sapa mau nitip????",Positif,1
"Iyaaa, mudah banget kok yoongiii",Positif,1
skip,Negatif,-1
suga,Positif,1
"""MUDAH BUKAN""",Positif,1
Lovee youuu tokopediaaaa..,Positif,1
DAEBAK,Positif,1
bikin frustasi,Negatif,-1
Nggasuka,Negatif,-1
MAKASIHH BANYAK YAA TOKPEDD GASABAR MALEM INII,Positif,1
BOCORANN DR MINTO NIH,Positif,1
"@anggreang jangan lupa nanti malem bund , wkwkwk",Positif,1
Tokped mending undang artis indo karna lebih bagus,Negatif,-1
Jangan blnja di tokped,Negatif,-1
"Rusuh bgt artisnya, nggasuka deh",Negatif,-1
"""MUDAH BUKAN ?"" beuh,muka bang Agus kek kocheng bgt dah...gematz",Positif,1
MUDAH BUKAN? ,Positif,1
skip,Negatif,-1
@aifa_sazalwa Ã°Å¸ËœÂÃ°Å¸ËœÂ jam 8 malam mainnya..,Positif,1
Kemayu bgt kaya cewek,Negatif,-1
JHOPE LANCAR BGTT INDO NYA,Positif,1
@andiniiputriaz ntr malem woi ntr malemm,Positif,1
aneeeehhh,Negatif,-1
"MasyaAllah Toko Pedia bukan kaleng2 bisa ngundang BTS, yg lain mah lewat ups",Positif,1
Malam iniiiiii.....!!!!!!!AAAAAAAA........ SUDAH SIAP BANGET AKU TUH.........GAK SABARRRRR......,Positif,1
"Mudah diliat, ga mudah dimiliki",Positif,1
@nianovitta,Positif,1
ngga guna,Negatif,-1
Mas j-hope suaramu makin melokal,Positif,1
Jangan sampe lupa sistaaaa @vinvin_joeliyus_r,Positif,1
blnja di e commerce lain aja,Negatif,-1
Sope lancar bgt bun ngomongnya @kavita.vailany,Positif,1
Ditunggu dirumahh para suami,Positif,1
Mudah bukan ?? Mudah kok mudah banget kamu bikin aku ambyar mas,Positif,1
MUDAH BUKAN iya mudahh yang ngga mudah milikin kamu Yoon,Positif,1
MUDAH BUKAN???!?,Positif,1
ongkir mahal amat sih,Negatif,-1
Jgn mau blnja di tokped,Negatif,-1
Pokoknya ku tidak mau tidur siang ku rela menunggu mereka,Positif,1
Duhhh mudah bukann ,Positif,1
Siap2 guys siapin hatiÃ°Å¸ËœÂÃ°Å¸Ëœâ€š@erma_bundaiksan @zesinurulhasanahPositif2,Positif,1
Jujur bosenin,Negatif,-1
"Mudah banget bangg, yang susah tuh milikin kamu-_",Positif,1
"hintnya mudah sayang, yang susah itu jadi jodoh kamu.",Positif,1
MUDAH BUKAN~,Positif,1
jelek,Negatif,-1
tokopedia emg keren bgttt,Positif,1
salut sih sama tokped,Positif,1
Lovee youuu tokopediaaaa..,Positif,1
senangnya tokopedia undang bts,Positif,1
"Gemoy bgt sugaaÃ°Å¸ËœÂ­ ""MUDAH BUKAN""",Positif,1
seneng bgt bts bisa kerjasama sama tokped,Positif,1
jelek bgtttt,Negatif,-1
ENGGAKK MUDAH,Positif,1
Ditunggu dirumahh para suami,Positif,1
fasih nya jhope ngajak nikah,Positif,1
Gaada bagusnya,Negatif,-1
GA SABAR BANGET!! KANGEN MEREKAA SOALNYA!,Positif,1
B aja,Negatif,-1
Mau muntah,Negatif,-1
Pusing liatnya,Negatif,-1
Fiks rebutan remote tv ama emak,Positif,1
Mkshhhh TOKOPEDIAAAA,Positif,1
kolaborasi yang keren abiiissss,Positif,1
"Fasih bgt yaa, melokal terusss",Positif,1
Bikin sakit mata,Negatif,-1
adem bgt liatnyaaaa,Positif,1
semoga bts & blackpink bisa satu frame aminnn,Positif,1
"Bangtan,,, I wait you gasabar ihhh",Positif,1
ANEH BGT WOYYYY,Negatif,-1
Wakakakkaa kucingggg gemesh amat @triasadinnara @ismahwep,Positif,1
Elss see? nungguin ini ntar malam @elsaisnda,Positif,1
Pindah agama aja ikutin mereka,Negatif,-1
PENGEN DIKARUNGIN SEMUA ISH,Positif,1
"Kenapa harus digabungin sih bp sama bts-nya Ã°Å¸ËœÂ¢ Mana bintang tamunya cukup banyak lagi, iya aja kalo durasinya sampe 2 jam lebih mah. Hahhh, semoga aja bp nyanyinya lebih dari 2 kali.",Positif,1
yok nonton yok..btw adminnya ikut nonton ga ni,Positif,1
Plastiiiiikkkkkkk,Negatif,-1
Org2an sawah hahahaha,Negatif,-1
TOKPED LOP YU POKONYA,Positif,1
@juniyanaamanda,Positif,1
Pada buta matanyaaa,Negatif,-1
Bebbbbbb jangan lupa jam 8!!! @merchitar,Positif,1
Pengen gw blok deh tokped,Negatif,-1
Pengen sungkem Ama yang ngadain acarany,Positif,1
"Makasih diskon PositifNegatifNegatif% nya, aku sampe kaget bgt beneran diskon PositifNegatifNegatif, ga kayak sebelah yg cuma maks 2rb",Positif,1
Banyk org gila dsni,Negatif,-1
"keren sih bisa jadikan bts sbg Banya tokped, secara bts punya banyak penghargaan dan mendunia",Positif,1
Pgn gw hujat dehhh,Negatif,-1
Ea taehyung,Positif,1
Gw sih mending shopee,Negatif,-1
Gak sabar sebentar malam,Positif,1
Tidak menarik,Negatif,-1
matikan tv,Negatif,-1
Mahal bgt blnja di tokped,Negatif,-1
Kok ada sih org yg suka sama mrka,Negatif,-1
Sembah berhala aja sana kalian hahaahah,Negatif,-1
siap siap berebutan remot ama emak,Positif,1
tokopedia baik bgt paraaahhh,Positif,1
Oi oiiiiii gaskeunnn @pinkaachuu @fannywangg @juliangelPositifPositifPositifPositif,Positif,1
Ia mudah yg ngk mudah tu ketemu sama kmu mas @fani_liem,Positif,1
Sok inggris bgt hahaah,Negatif,-1
Hdifkfjsudzgmxjdus udah ngak sabar,Positif,1
Cinta produk lokal bakar plastik!!!,Negatif,-1
mudah bukan? iya sayang yang sulit hanyalah memilikimu,Positif,1
Itu rambut jk udah ganti lagi,Positif,1
plastiiiqkkkk,Negatif,-1
UwuwuueueuÃ¢ÂÂ¤Ã¯Â¸Â@bts.bighitofficial @tokopedia,Positif,1
@dannisajohnson ini tehh ntr malem Ã°Å¸â€™Å“,Positif,1
Buang2 duit blnja di tokped,Negatif,-1
Gak sabar sebentar malam,Positif,1
@moonliesght jgn lupa bun todayÃ°Å¸ËœÅ’,Positif,1
Hatiku sangat senang sekali udh gk sabar pengen ngeliat penampilan dri bts dan blackpink,Positif,1
acaranya tdk berbobot,Negatif,-1
Nnti kerumahmu lh kak wkwk @aisyxxhh_bulbul,Positif,1
Minto makasihhhhh banyakkkk udh nyatuin BTS sm Blackpink ahhhhh syg deh sm minto sm tokped jugaaa,Positif,1
TERIMAKASIH BANYAK TOKOPEDIA!!!  I GREEN U TOKOPEDIA,Positif,1
jatuh miskin abis ini,Negatif,-1
"@samanthachrs iya mudah, digapai ny susah.",Positif,1
semakin melokal ya bund,Positif,1
Aaa....Makasih tokopedia!!! Gk sabar!!!,Positif,1
gasuka,Negatif,-1
